业务编号,业务类型,业务日期,发起机构,接收机构,交易金额,币种,借贷方向,付款人账号,付款人名称,收款人账号,收款人名称,摘要,参考号
BIZ2026062200001,TRANSFER,2026-06-22,INST001,INST002,12500.00,CNY,借,62220001,张三,62220011,李四,小额贷款放款,REF20260622A001
BIZ2026062200002,TRANSFER,2026-06-22,INST002,INST001,12500.00,CNY,贷,62220011,李四,62220001,张三,小额贷款放款匹配,REF20260622A001
BIZ2026062200003,GUARANTEE,2026-06-22,INST002,INST003,50000.00,CNY,借,62220021,王五,62220031,赵六,担保代偿,REF20260622B002
BIZ2026062200004,GUARANTEE,2026-06-22,INST003,INST002,50000.00,CNY,贷,62220031,赵六,62220021,王五,担保代偿匹配,REF20260622B002
BIZ2026062200005,PAWN,2026-06-22,INST003,INST001,8800.50,CNY,借,62220032,孙七,62220012,周八,典当续当,REF20260622C003
BIZ2026062200006,PAWN,2026-06-22,INST001,INST003,8800.50,CNY,贷,62220012,周八,62220032,孙七,典当续当匹配,REF20260622C003
BIZ2026062200007,LEASE,2026-06-22,INST004,INST002,35000.00,CNY,借,62220041,吴九,62220022,郑十,租金扣收,REF20260622D004
BIZ2026062200008,LEASE,2026-06-22,INST002,INST004,35000.01,CNY,贷,62220022,郑十,62220041,吴九,租金扣收匹配,REF20260622D004
BIZ2026062200009,TRANSFER,2026-06-22,INST001,INST004,22000.00,CNY,借,62220013,冯十一,62220042,陈十二,小额贷款本金,REF20260622A005
BIZ2026062200010,TRANSFER,2026-06-22,INST004,INST001,21999.99,CNY,贷,62220042,陈十二,62220013,冯十一,小额贷款本金匹配,REF20260622A005
BIZ2026062200011,GUARANTEE,2026-06-22,INST002,INST004,18000.00,CNY,借,62220023,刘十三,62220043,杨十四,担保费,REF20260622B006
BIZ2026062200012,PAWN,2026-06-22,INST003,INST004,4200.00,CNY,贷,62220033,黄十五,62220044,朱十六,典当赎当,REF20260622C007
